player_id,short_name,long_name,nationality_name,age,player_positions,club_name,overall,potential,pace,shooting,passing,dribbling,defending,physic,age,physic,mentality_aggression,mentality_interceptions,power_stamina,power_strength,defending_marking_awareness,power_jumping,defending_standing_tackle,defending_sliding_tackle,attacking_heading_accuracy,mentality_composure,movement_reactions,skill_long_passing,skill_dribbling,skill_fk_accuracy,skill_ball_control,attacking_crossing,power_shot_power,attacking_finishing,skill_curve,movement_balance,attacking_volleys,power_long_shots,mentality_vision,mentality_penalties,movement_agility
200145,Casemiro,Carlos Henrique Venancio Casimiro,Brazil,28,CDM,Real Madrid,89,89,65.0,73.0,76.0,72.0,86.0,91.0,28,91.0,91,87,90,91,84,87,88,87,80,84.0,87,84,69,74,79,58,88,64,63,66,63,81,80,66,61
210257,Ederson,Ederson Santana de Moraes,Brazil,26,GK,Manchester City,88,91,,,,,,,26,,38,27,41,78,29,66,15,8,14,70.0,87,59,23,20,40,20,70,14,15,48,18,18,70,17,60
202652,R. Sterling,Raheem Sterling,England,25,"LW, RW",Manchester City,88,90,93.0,81.0,79.0,90.0,45.0,67.0,25,67.0,59,30,79,65,47,57,53,47,46,80.0,90,69,90,63,88,78,78,85,77,94,67,79,82,69,94
212622,J. Kimmich,Joshua Walter Kimmich,Germany,25,"CDM, RB",FC Bayern München,88,90,71.0,72.0,86.0,84.0,81.0,79.0,25,79.0,89,82,95,67,82,79,84,79,72,85.0,88,86,83,61,85,91,78,66,85,84,67,84,84,44,84
202126,H. Kane,Harry Kane,England,26,ST,Tottenham Hotspur,88,89,68.0,91.0,80.0,80.0,47.0,83.0,26,83.0,81,35,84,84,56,79,36,38,85,91.0,90,83,80,68,84,75,91,94,80,73,85,86,83,90,69
211110,P. Dybala,Paulo Bruno Exequiel Dybala,Argentina,26,"CF, CAM",Juventus,88,89,85.0,85.0,84.0,92.0,43.0,63.0,26,63.0,48,42,78,60,32,75,48,40,64,84.0,84,75,91,88,94,82,82,84,88,90,88,87,87,86,92
162835,S. Handanovič,Samir Handanovič,Slovenia,35,GK,Inter,88,88,,,,,,,35,,25,22,41,71,25,78,10,13,10,69.0,83,40,18,14,16,12,55,10,12,36,12,19,41,23,47
182521,T. Kroos,Toni Kroos,Germany,30,CM,Real Madrid,88,88,54.0,81.0,91.0,81.0,71.0,69.0,30,69.0,60,79,75,73,72,32,73,60,58,88.0,89,93,80,84,89,88,89,76,86,71,82,86,90,73,63
183277,E. Hazard,Eden Michael Hazard,Belgium,29,"LW, ST",Real Madrid,88,88,88.0,82.0,83.0,92.0,35.0,66.0,29,66.0,54,41,82,63,34,56,27,22,61,90.0,86,81,93,79,91,77,82,82,83,93,83,78,86,87,92
201024,K. Koulibaly,Kalidou Koulibaly,Senegal,29,CB,Napoli,88,88,75.0,28.0,55.0,68.0,89.0,86.0,29,86.0,87,87,70,94,91,82,89,87,84,82.0,85,63,69,28,74,30,55,22,28,41,14,15,52,33,52
215914,N. Kanté,N'Golo Kanté,France,29,"CDM, CM",Chelsea,88,88,77.0,66.0,76.0,81.0,86.0,82.0,29,82.0,90,91,96,72,89,77,90,85,54,85.0,91,79,79,49,80,68,71,65,49,92,56,65,79,54,82
233049,J. Sancho,Jadon Sancho,England,20,"RM, LM, CAM",Borussia Dortmund,87,93,83.0,74.0,81.0,91.0,37.0,64.0,20,64.0,44,39,77,67,32,51,41,32,38,84.0,87,68,92,48,91,83,70,81,81,90,83,63,87,60,91
231281,T. Alexander-Arnold,Trent Alexander-Arnold,England,21,RB,Liverpool,87,92,80.0,66.0,87.0,80.0,80.0,71.0,21,71.0,74,82,88,62,79,66,83,79,69,81.0,83,89,77,85,87,93,80,56,88,74,62,74,84,55,74
212198,Bruno Fernandes,Bruno Miguel Borges Fernandes,Portugal,25,"CAM, CM",Manchester United,87,90,77.0,83.0,88.0,85.0,68.0,75.0,25,75.0,70,74,94,67,72,72,67,55,58,86.0,86,87,85,87,88,87,89,77,86,79,86,89,90,91,79
212218,A. Laporte,Aymeric Laporte,France,26,CB,Manchester City,87,90,63.0,50.0,72.0,68.0,88.0,81.0,26,81.0,81,87,72,85,89,76,89,88,86,85.0,87,80,63,69,78,58,68,45,61,60,40,47,65,44,59
209499,Fabinho,Fábio Henrique Tavares,Brazil,26,CDM,Liverpool,87,89,67.0,69.0,79.0,77.0,85.0,83.0,26,83.0,86,87,88,81,86,75,87,85,75,84.0,84,83,76,53,82,75,81,63,71,65,47,70,79,90,66
216267,A. Robertson,Andrew Robertson,Scotland,26,LB,Liverpool,87,89,82.0,62.0,80.0,80.0,81.0,76.0,26,76.0,85,82,95,65,83,62,84,81,67,83.0,84,76,80,38,82,90,78,57,82,74,32,65,79,55,78
218667,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,Portugal,25,"RW, CAM, CM",Manchester City,87,88,81.0,77.0,83.0,92.0,51.0,67.0,25,67.0,69,49,93,54,49,51,59,40,51,87.0,85,76,92,67,92,85,76,79,84,92,70,76,85,68,94
138956,G. Chiellini,Giorgio Chiellini,Italy,35,CB,Juventus,87,87,66.0,46.0,58.0,60.0,90.0,79.0,35,79.0,90,88,54,87,94,87,90,88,83,84.0,82,65,59,31,61,54,78,33,60,57,45,49,50,50,57
167948,H. Lloris,Hugo Lloris,France,33,GK,Tottenham Hotspur,87,87,,,,,,,33,,31,27,41,43,29,74,10,18,10,65.0,85,50,10,10,34,13,51,10,11,54,11,14,30,40,55
176580,L. Suárez,Luis Alberto Suárez Díaz,Uruguay,33,ST,FC Barcelona,87,87,70.0,90.0,82.0,83.0,51.0,83.0,33,83.0,87,41,78,85,57,69,45,38,84,85.0,92,77,84,82,84,80,89,92,86,78,90,88,84,83,76
177003,L. Modrić,Luka Modrić,Croatia,34,CM,Real Madrid,87,87,73.0,76.0,89.0,88.0,71.0,66.0,34,66.0,62,79,84,58,68,68,75,71,55,92.0,88,89,85,78,90,86,79,72,85,92,76,82,90,82,91
183898,Á. Di María,Ángel Fabián Di María Hernández,Argentina,32,"RW, LW",Paris Saint Germain,87,87,83.0,81.0,85.0,88.0,48.0,68.0,32,68.0,73,42,78,60,41,72,55,52,51,86.0,84,80,88,88,87,88,83,79,89,76,78,86,88,73,94
186153,W. Szczęsny,Wojciech Tomasz Szczęsny,Poland,30,GK,Juventus,87,87,,,,,,,30,,40,15,45,65,20,71,13,12,16,65.0,82,36,11,14,22,12,55,12,16,51,14,14,48,18,55
188567,P. Aubameyang,Pierre-Emerick Emiliano François Aubameyang,Gabon,31,"ST, LW",Arsenal,87,87,93.0,86.0,75.0,80.0,38.0,69.0,31,69.0,43,48,80,74,27,75,29,36,75,88.0,88,64,80,76,82,76,82,91,81,68,84,78,77,78,77
189511,Sergio Busquets,Sergio Busquets i Burgos,Spain,31,CDM,FC Barcelona,87,87,42.0,62.0,80.0,80.0,83.0,77.0,31,77.0,81,85,81,75,86,66,83,80,68,93.0,84,83,81,68,88,62,61,67,66,50,44,54,84,60,67
192387,C. Immobile,Ciro Immobile,Italy,30,ST,Lazio,87,87,84.0,88.0,67.0,83.0,39.0,77.0,30,77.0,77,40,78,77,34,77,33,32,81,86.0,90,53,83,51,84,55,86,93,70,77,85,80,71,88,75
193041,K. Navas,Keylor Navas Gamboa,Costa Rica,33,GK,Paris Saint Germain,87,87,,,,,,,33,,32,20,39,75,28,74,14,14,11,67.0,84,37,16,15,19,11,56,15,11,61,11,13,68,25,60
194765,A. Griezmann,Antoine Griezmann,France,29,"ST, CF, LW",FC Barcelona,87,87,79.0,85.0,84.0,88.0,57.0,72.0,29,72.0,73,49,86,63,59,90,54,49,83,89.0,92,82,87,85,89,83,81,88,86,83,87,82,85,86,91
200104,H. Son,손흥민 孙兴慜,Korea Republic,27,"LM, CF",Tottenham Hotspur,87,87,88.0,86.0,80.0,87.0,43.0,69.0,27,69.0,62,39,87,64,50,56,34,33,68,88.0,89,70,88,70,87,81,88,86,85,78,81,90,83,73,86
201942,Roberto Firmino,Roberto Firmino Barbosa de Oliveira,Brazil,28,CF,Liverpool,87,87,77.0,80.0,81.0,90.0,61.0,78.0,28,78.0,75,58,88,74,60,81,64,42,75,88.0,90,76,90,65,91,73,82,80,81,86,85,77,86,72,85
201535,R. Varane,Raphaël Varane,France,27,CB,Real Madrid,86,88,82.0,49.0,64.0,64.0,87.0,82.0,27,82.0,80,87,75,86,89,81,87,86,85,83.0,86,77,55,52,79,42,52,46,46,39,42,53,59,43,62
195864,P. Pogba,Paul Pogba,France,27,"CM, CDM",Manchester United,86,87,73.0,81.0,86.0,85.0,66.0,85.0,27,85.0,78,64,83,89,63,82,67,65,75,87.0,81,91,87,82,90,80,90,75,85,66,84,82,88,83,73
199556,M. Verratti,Marco Verratti,Italy,27,"CM, CDM",Paris Saint Germain,86,87,64.0,60.0,85.0,90.0,79.0,67.0,27,67.0,89,85,76,53,78,65,82,83,55,94.0,87,89,90,64,90,75,56,60,78,94,64,58,88,64,91
143076,A. Gómez,Alejandro Darío Gómez,Argentina,32,"CAM, CF, ST",Atalanta,86,86,90.0,79.0,84.0,88.0,39.0,55.0,32,55.0,56,40,73,44,50,70,30,34,38,85.0,86,77,87,79,86,83,76,80,82,94,72,82,87,72,93
152729,Piqué,Gerard Piqué Bernabéu,Spain,33,CB,FC Barcelona,86,86,57.0,61.0,71.0,67.0,86.0,80.0,33,80.0,79,87,69,87,88,74,86,84,84,87.0,88,81,63,43,80,57,62,65,58,35,57,51,72,69,57
168542,David Silva,David Josué Jiménez Silva,Spain,34,"CAM, CM",Real Sociedad,86,86,64.0,74.0,88.0,88.0,52.0,55.0,34,55.0,56,50,70,46,58,64,53,29,53,92.0,87,84,86,77,91,84,72,72,82,87,82,73,91,75,85
177683,Y. Sommer,Yann Sommer,Switzerland,31,GK,Borussia Mönchengladbach,86,86,,,,,,,31,,38,21,45,68,9,73,19,12,10,57.0,84,31,15,13,25,13,64,13,12,58,8,12,64,24,55
178603,M. Hummels,Mats Hummels,Germany,31,CB,Borussia Dortmund,86,86,58.0,58.0,77.0,72.0,89.0,77.0,31,77.0,71,91,65,86,90,68,88,86,87,89.0,87,86,69,53,81,65,71,55,66,60,60,51,80,68,63
183711,J. Henderson,Jordan Henderson,England,30,"CDM, CM",Liverpool,86,86,65.0,74.0,84.0,79.0,81.0,82.0,30,82.0,84,85,91,78,84,78,83,77,65,82.0,86,87,78,74,84,82,77,73,80,68,71,75,83,64,69
189332,Jordi Alba,Jordi Alba Ramos,Spain,31,LB,FC Barcelona,86,86,88.0,69.0,81.0,83.0,78.0,72.0,31,72.0,76,81,88,61,74,80,80,82,70,80.0,82,79,81,63,84,85,64,73,80,85,60,66,78,59,90
189596,T. Müller,Thomas Müller,Germany,30,"CAM, RM, RW",FC Bayern München,86,86,68.0,82.0,82.0,78.0,56.0,71.0,30,71.0,62,58,86,66,47,77,57,46,81,84.0,94,78,75,59,82,85,78,85,81,71,84,81,85,60,73
193080,De Gea,David De Gea Quintana,Spain,29,GK,Manchester United,86,86,,,,,,,29,,38,30,43,60,25,67,21,13,21,65.0,83,47,18,19,38,17,59,13,21,43,13,12,61,29,63
204963,Carvajal,Daniel Carvajal Ramos,Spain,28,RB,Real Madrid,86,86,80.0,54.0,78.0,80.0,82.0,80.0,28,80.0,84,83,89,74,83,77,83,85,72,82.0,84,74,78,47,84,84,68,51,76,81,49,47,74,45,79
208830,J. Vardy,Jamie Vardy,England,33,ST,Leicester City,86,86,88.0,85.0,66.0,78.0,55.0,75.0,33,75.0,87,49,79,68,57,79,50,53,79,87.0,90,48,77,57,81,68,87,92,67,75,82,65,73,84,72
235790,K. Havertz,Kai Lukas Havertz,Germany,21,"CAM, RM, CF",Chelsea,85,93,84.0,81.0,79.0,85.0,45.0,67.0,21,67.0,42,38,82,69,39,75,46,38,78,84.0,85,78,86,53,87,73,74,85,84,74,80,78,82,73,78
230621,G. Donnarumma,Gianluigi Donnarumma,Italy,21,GK,Milan,85,92,,,,,,,21,,30,26,34,72,20,72,14,16,12,68.0,79,24,28,14,28,12,57,12,12,38,8,18,50,24,64
235243,M. de Ligt,Matthijs de Ligt,Netherlands,20,CB,Juventus,85,92,72.0,59.0,66.0,69.0,85.0,84.0,20,84.0,83,83,76,88,86,84,85,82,86,82.0,84,74,66,55,76,52,82,50,48,60,45,66,63,40,56
231677,M. Rashford,Marcus Rashford,England,22,"LM, ST",Manchester United,85,91,91.0,83.0,78.0,86.0,45.0,78.0,22,78.0,73,42,87,76,47,72,40,33,68,82.0,86,69,87,76,85,77,90,83,82,75,73,81,82,81,86
222492,L. Sané,Leroy Aziz Sané,Germany,24,LM,FC Bayern München,85,90,93.0,81.0,79.0,86.0,38.0,67.0,24,67.0,61,34,70,69,36,64,32,35,72,80.0,79,64,88,82,85,83,87,81,83,78,85,78,82,71,84
228702,F. de Jong,Frenkie de Jong,Netherlands,23,CM,FC Barcelona,85,90,80.0,64.0,84.0,87.0,76.0,77.0,23,77.0,70,82,90,74,76,76,76,77,66,90.0,88,86,87,64,88,75,68,63,84,79,69,61,86,45,83
207865,Marquinhos,Marcos Aoás Corrêa,Brazil,26,"CB, CDM",Paris Saint Germain,85,89,72.0,41.0,73.0,70.0,87.0,78.0,26,78.0,80,86,80,75,87,89,87,87,84,86.0,85,82,64,32,79,68,61,33,55,67,31,35,68,47,69
220440,C. Lenglet,Clément Nicolas Laurent Lenglet,France,25,CB,FC Barcelona,85,89,74.0,45.0,67.0,65.0,87.0,81.0,25,81.0,80,87,75,83,90,85,86,81,83,82.0,84,74,57,31,76,55,58,39,59,60,37,46,66,49,61
223848,S. Milinković-Savić,Sergej Milinković-Savić,Serbia,25,"CM, CDM, CAM",Lazio,85,89,69.0,79.0,80.0,83.0,79.0,85.0,25,85.0,79,78,85,88,78,85,79,74,86,84.0,83,85,86,75,88,64,83,80,78,63,74,80,85,56,64
232363,M. Škriniar,Milan Škriniar,Slovakia,25,CB,Inter,85,89,69.0,41.0,59.0,66.0,87.0,81.0,25,81.0,86,86,73,84,92,78,87,83,82,81.0,83,69,67,30,69,40,50,42,34,51,40,30,57,56,48
202556,M. Depay,Memphis Depay,Netherlands,26,"CF, LW, CAM",Olympique Lyonnais,85,88,86.0,83.0,81.0,84.0,32.0,80.0,26,80.0,75,28,81,81,29,76,31,20,65,78.0,82,74,85,86,84,83,87,83,85,79,74,83,84,73,80
212188,T. Werner,Timo Werner,Germany,24,ST,Chelsea,85,88,91.0,85.0,69.0,84.0,35.0,71.0,24,71.0,63,37,83,67,39,75,20,19,78,82.0,87,55,84,58,85,69,85,88,70,76,86,78,65,78,83
231866,Rodri,Rodrigo Hernández Cascante,Spain,24,"CDM, CM",Manchester City,85,88,65.0,68.0,77.0,77.0,82.0,79.0,24,79.0,76,83,84,79,83,69,84,78,75,85.0,82,82,76,54,82,63,74,64,65,69,59,76,82,46,68
192563,B. Leno,Bernd Leno,Germany,28,GK,Arsenal,85,87,,,,,,,28,,28,25,43,70,27,73,15,18,13,66.0,81,48,16,8,35,9,60,9,9,44,10,14,56,23,52
206113,S. Gnabry,Serge David Gnabry,Germany,24,"RM, LM, RW",FC Bayern München,85,87,82.0,83.0,78.0,86.0,43.0,70.0,24,70.0,63,38,78,69,45,65,44,43,42,80.0,85,74,87,62,83,79,86,85,74,88,83,81,83,68,86
210243,Ricardo Pereira,Ricardo Domingos Barbosa Pereira,Portugal,26,RB,Leicester City,85,87,83.0,66.0,79.0,82.0,81.0,76.0,26,76.0,79,81,88,69,82,75,84,83,65,81.0,85,78,82,52,82,82,74,63,78,79,59,64,77,61,79
192505,R. Lukaku,Romelu Lukaku Menama,Belgium,27,ST,Inter,85,86,81.0,83.0,76.0,75.0,38.0,84.0,27,84.0,71,27,73,95,30,71,41,30,85,83.0,86,71,78,66,78,73,87,86,78,46,77,74,78,78,60
198706,Luis Alberto,Luis Alberto Romero Alconchel,Spain,27,"CAM, CM, CF",Lazio,85,86,74.0,76.0,86.0,85.0,58.0,59.0,27,59.0,29,55,75,64,58,53,68,45,49,78.0,80,89,86,81,88,76,77,77,86,74,76,76,88,56,81
201399,M. Icardi,Mauro Emanuel Icardi Rivero,Argentina,27,ST,Paris Saint Germain,85,86,73.0,85.0,65.0,78.0,36.0,68.0,27,68.0,56,22,66,72,45,93,24,20,88,83.0,86,54,76,48,82,47,85,90,76,75,85,71,72,82,73
208670,H. Ziyech,Hakim Ziyech,Morocco,27,"CAM, RW",Chelsea,85,86,80.0,76.0,87.0,84.0,50.0,66.0,27,66.0,73,52,80,59,44,37,56,40,53,79.0,84,89,83,78,85,88,83,73,90,78,74,77,89,67,85
164240,Thiago Silva,Thiago Emiliano da Silva,Brazil,35,CB,Chelsea,85,85,59.0,54.0,72.0,71.0,86.0,78.0,35,78.0,76,88,71,82,87,90,86,84,81,86.0,81,80,67,61,79,60,71,40,62,66,61,65,70,60,67
175943,D. Mertens,Dries Mertens,Belgium,33,"CF, ST",Napoli,85,85,86.0,82.0,80.0,89.0,35.0,51.0,33,51.0,59,36,70,37,25,58,40,40,40,81.0,86,74,88,79,89,79,80,84,82,92,70,81,83,79,94
180206,M. Pjanić,Miralem Pjanić,Bosnia and Herzegovina,30,"CM, CDM",FC Barcelona,85,85,67.0,68.0,87.0,85.0,75.0,67.0,30,67.0,70,78,81,59,78,59,76,70,60,86.0,84,87,86,92,89,81,78,56,86,81,72,82,88,79,75
181291,G. Wijnaldum,Georginio Gregion Emile Wijnaldum,Netherlands,29,CM,Liverpool,85,85,76.0,75.0,81.0,86.0,78.0,79.0,29,79.0,75,79,93,74,78,81,79,69,78,86.0,86,81,85,73,88,72,78,75,78,88,73,73,79,74,84
182493,D. Godín,Diego Roberto Godín Leal,Uruguay,34,CB,Inter,85,85,57.0,48.0,64.0,61.0,87.0,79.0,34,79.0,85,87,62,85,90,89,86,84,85,80.0,74,70,53,49,74,52,67,42,49,53,47,43,52,50,57
184087,T. Alderweireld,Toby Albertine Maurits Alderweireld,Belgium,31,CB,Tottenham Hotspur,85,85,63.0,55.0,72.0,67.0,87.0,79.0,31,79.0,81,85,78,79,88,82,89,85,82,86.0,85,82,62,69,75,64,78,45,63,62,38,58,62,58,59
184344,L. Bonucci,Leonardo Bonucci,Italy,33,CB,Juventus,85,85,60.0,58.0,69.0,70.0,87.0,77.0,33,77.0,82,90,66,79,90,85,86,80,84,86.0,84,84,69,61,75,44,74,48,56,55,58,65,74,70,60
185122,P. Gulácsi,Péter Gulácsi,Hungary,30,GK,RB Leipzig,85,85,,,,,,,30,,34,23,35,74,25,67,16,20,23,45.0,82,31,19,11,25,16,62,10,18,42,10,12,42,24,41
188350,M. Reus,Marco Reus,Germany,31,"CAM, CF",Borussia Dortmund,85,85,80.0,86.0,84.0,85.0,45.0,63.0,31,63.0,51,48,67,66,50,70,37,45,44,85.0,85,76,85,86,87,85,87,86,88,82,89,83,84,91,83
188377,K. Walker,Kyle Walker,England,30,RB,Manchester City,85,85,92.0,63.0,76.0,77.0,80.0,82.0,30,82.0,78,80,89,79,77,83,83,82,74,75.0,84,76,79,71,79,81,86,51,76,69,57,69,69,63,66
189509,Thiago,Thiago Alcântara do Nascimento,Spain,29,"CM, CDM",Liverpool,85,85,64.0,72.0,85.0,90.0,70.0,62.0,29,62.0,54,83,73,59,67,75,71,68,54,86.0,85,89,90,77,91,78,75,68,85,90,84,73,85,75,91
189513,Parejo,Daniel Parejo Muñoz,Spain,31,CM,Villarreal,85,85,50.0,83.0,90.0,81.0,71.0,69.0,31,69.0,58,81,78,70,70,49,70,69,61,85.0,80,90,82,93,86,86,81,83,88,72,72,88,89,88,63
190460,C. Eriksen,Christian Dannemann Eriksen,Denmark,28,"CAM, CM, RM",Inter,85,85,72.0,81.0,88.0,81.0,53.0,63.0,28,63.0,46,56,92,56,59,49,57,22,52,86.0,84,87,77,85,90,86,84,77,89,80,80,89,90,67,77
191043,Alex Sandro,Alex Sandro Lobo Silva,Brazil,29,"LB, LM",Juventus,85,85,81.0,65.0,77.0,80.0,81.0,81.0,29,81.0,82,82,90,77,80,79,81,82,76,80.0,84,71,80,59,81,84,80,55,78,77,68,72,70,60,78
193747,Koke,Jorge Resurrección Merodio,Spain,28,"CM, RM, LM",Atlético Madrid,85,85,67.0,75.0,85.0,81.0,76.0,80.0,28,80.0,79,80,94,75,75,63,80,70,61,84.0,88,85,80,76,84,85,83,72,85,80,56,80,85,59,73
198219,L. Insigne,Lorenzo Insigne,Italy,29,"LW, CF",Napoli,85,85,88.0,78.0,83.0,91.0,36.0,44.0,29,44.0,34,26,70,34,53,50,24,22,59,83.0,80,78,90,77,93,83,78,75,87,93,74,84,85,74,93
204485,R. Mahrez,Riyad Mahrez,Algeria,29,"RW, RM",Manchester City,85,85,83.0,79.0,81.0,90.0,38.0,59.0,29,59.0,48,39,76,55,45,60,31,22,48,84.0,81,75,90,78,91,83,79,79,84,88,76,80,84,70,92
239085,E. Haaland,Erling Braut Haaland,Norway,19,ST,Borussia Dortmund,84,92,84.0,87.0,63.0,76.0,43.0,85.0,19,85.0,82,41,78,91,45,70,38,30,67,83.0,83,49,75,62,78,46,93,87,77,67,82,83,68,80,75
231478,L. Martínez,Lautaro Javier Martínez,Argentina,22,ST,Inter,84,91,83.0,82.0,71.0,85.0,48.0,82.0,22,82.0,86,45,77,83,56,88,31,44,84,83.0,84,73,87,43,84,56,80,86,78,78,83,74,77,74,86
230142,Oyarzabal,Mikel Oyarzabal Ugarte,Spain,23,"LW, RW",Real Sociedad,84,90,81.0,82.0,80.0,84.0,41.0,63.0,23,63.0,52,29,82,57,55,72,32,30,60,75.0,81,73,85,71,84,82,80,84,74,79,73,81,85,83,80
212190,N. Süle,Niklas Süle,Germany,24,CB,FC Bayern München,84,89,69.0,42.0,59.0,49.0,85.0,81.0,24,81.0,83,81,63,93,85,38,88,87,86,75.0,81,69,43,30,63,34,77,22,28,32,33,62,57,32,33
230658,Arthur,Arthur Henrique Ramos de Oliveira Melo,Brazil,23,CM,Juventus,84,89,66.0,73.0,82.0,87.0,75.0,71.0,23,71.0,75,77,76,68,76,68,79,70,58,90.0,85,84,87,60,89,73,78,70,76,90,63,76,86,69,79
209658,L. Goretzka,Leon Christoph Goretzka,Germany,25,"CM, CDM",FC Bayern München,84,88,78.0,78.0,80.0,82.0,77.0,85.0,25,85.0,81,79,83,88,74,78,79,75,82,82.0,87,79,82,75,85,75,79,79,76,70,69,82,82,60,76
210035,Grimaldo,Alejandro Grimaldo García,Spain,24,LB,Benfica,84,88,85.0,65.0,79.0,84.0,77.0,71.0,24,71.0,69,81,90,63,75,64,78,79,66,83.0,83,79,84,81,83,84,79,52,85,86,61,79,68,54,84
211300,A. Martial,Anthony Martial,France,24,ST,Manchester United,84,88,89.0,83.0,74.0,87.0,41.0,72.0,24,72.0,54,42,77,76,34,70,39,36,71,82.0,82,63,89,54,87,72,83,85,84,79,75,79,77,81,83
212194,J. Brandt,Julian Brandt,Germany,24,"CAM, CM",Borussia Dortmund,84,88,81.0,78.0,82.0,87.0,51.0,66.0,24,66.0,38,47,80,71,48,64,55,57,54,84.0,83,85,88,65,86,81,81,77,77,83,79,80,85,54,84
