fifa_version,age,mentality_interceptions,defending,defending_standing_tackle,defending_sliding_tackle,attacking_heading_accuracy,skill_dribbling,attacker_position,skill_ball_control,midfielder_position,attacking_finishing,attacking_volleys,attacking_short_passing,mentality_positioning,shooting,big_potential
17.0,32,76,79.0,80,78,81,17,0,58,0,22,23,56,35,32.0,0
18.0,33,75,76.0,76,72,80,17,0,59,0,25,23,56,35,33.0,0
17.0,33,88,88.0,89,90,82,58,0,58,0,46,23,67,40,51.0,0
18.0,34,86,86.0,86,87,80,58,0,62,0,46,23,70,40,51.0,0
19.0,35,85,85.0,85,82,80,58,0,62,0,46,23,70,40,51.0,1
20.0,36,84,85.0,85,82,82,58,0,62,0,46,23,71,40,51.0,0
21.0,37,76,82.0,83,82,82,58,0,62,0,46,23,73,40,51.0,0
17.0,31,84,75.0,74,75,78,74,0,81,1,70,82,84,80,76.0,0
18.0,34,35,31.0,36,12,78,39,1,62,0,73,63,44,67,69.0,0
19.0,35,35,38.0,36,12,80,38,1,63,0,72,65,46,71,69.0,0
20.0,36,35,37.0,36,12,79,38,1,62,0,70,57,46,72,68.0,0
17.0,32,66,71.0,73,71,75,65,0,66,0,60,50,68,64,64.0,0
17.0,32,28,35.0,43,26,72,75,1,75,1,73,71,67,73,73.0,0
18.0,33,28,35.0,43,26,71,73,1,75,1,73,71,67,73,73.0,0
17.0,36,72,72.0,72,72,68,60,0,60,0,28,29,56,38,39.0,0
17.0,32,75,72.0,70,67,68,58,0,59,0,22,21,65,44,37.0,0
17.0,30,33,31.0,29,26,72,69,1,65,0,82,77,66,86,81.0,0
18.0,31,33,31.0,29,26,72,69,1,62,0,82,77,66,86,81.0,0
19.0,32,33,34.0,29,26,72,69,1,69,0,82,77,66,85,81.0,1
20.0,33,33,34.0,29,26,72,69,1,69,0,82,77,66,86,81.0,0
17.0,25,61,62.0,62,66,58,70,0,70,1,61,56,61,63,62.0,0
17.0,31,82,71.0,70,68,65,77,0,82,1,71,71,82,71,76.0,0
17.0,30,83,82.0,85,79,76,69,0,72,1,58,54,75,56,66.0,0
18.0,31,86,82.0,85,79,76,72,0,79,1,58,54,77,56,66.0,0
19.0,32,86,77.0,79,76,70,65,0,74,1,58,54,73,56,66.0,0
17.0,26,72,73.0,75,74,60,68,0,70,0,52,42,70,66,59.0,0
18.0,27,74,73.0,74,72,61,72,0,73,0,52,42,75,66,59.0,0
19.0,28,78,70.0,74,72,58,70,0,75,0,42,42,74,62,54.0,0
20.0,29,75,74.0,75,74,60,70,0,72,0,42,42,73,65,56.0,0
17.0,33,47,46.0,46,38,71,65,1,62,0,67,65,65,76,69.0,0
18.0,34,38,39.0,35,34,70,64,1,60,0,66,65,57,75,68.0,0
17.0,29,68,56.0,59,41,65,66,0,71,1,64,42,70,69,64.0,0
18.0,30,68,58.0,62,50,65,66,0,71,1,64,42,68,69,64.0,0
19.0,31,68,57.0,62,50,63,66,0,71,1,64,42,65,69,64.0,0
17.0,30,69,70.0,72,71,69,39,0,55,0,29,52,54,36,34.0,0
17.0,32,76,71.0,74,70,68,74,0,78,1,51,64,80,68,65.0,0
18.0,33,75,70.0,72,68,66,74,0,77,1,51,64,79,68,64.0,0
17.0,33,80,77.0,80,73,75,74,0,80,1,63,63,85,64,65.0,0
18.0,34,80,77.0,80,73,75,74,0,80,1,63,63,85,64,65.0,0
19.0,35,77,76.0,80,70,75,73,0,76,1,61,63,86,64,64.0,0
20.0,36,75,75.0,77,68,75,73,0,72,1,61,63,82,64,64.0,0
17.0,30,42,47.0,46,41,77,71,1,70,1,75,80,73,78,74.0,0
18.0,31,42,47.0,46,41,79,75,1,75,1,79,79,79,79,76.0,0
19.0,32,42,47.0,46,40,77,75,1,69,0,79,75,77,79,76.0,0
17.0,31,68,67.0,74,64,46,69,0,70,1,62,55,75,63,64.0,0
18.0,32,75,70.0,75,64,46,69,0,71,1,52,55,81,61,59.0,0
19.0,33,77,73.0,75,69,50,70,0,72,1,48,48,82,55,56.0,0
17.0,31,66,66.0,67,60,71,53,0,56,0,19,24,58,25,28.0,0
18.0,32,66,66.0,66,60,71,53,0,56,0,19,24,58,25,28.0,0
17.0,30,55,44.0,42,45,46,68,0,74,1,68,69,73,64,71.0,0
18.0,31,55,48.0,49,53,46,68,0,74,1,68,69,73,64,71.0,0
19.0,32,58,52.0,53,53,46,68,0,67,1,65,69,68,64,69.0,1
17.0,31,86,76.0,81,78,55,78,0,76,1,70,76,82,68,75.0,0
18.0,32,85,77.0,83,77,55,77,0,78,1,69,74,82,68,73.0,0
19.0,33,88,83.0,85,80,63,77,0,82,1,69,74,85,70,74.0,0
17.0,30,72,75.0,75,73,80,48,0,63,0,22,40,72,53,34.0,0
17.0,31,68,73.0,77,72,68,69,0,73,0,25,26,70,58,43.0,0
17.0,32,78,81.0,84,78,75,56,0,62,0,19,23,56,39,30.0,0
18.0,33,77,77.0,78,74,77,58,0,61,0,19,23,56,39,30.0,0
17.0,32,23,25.0,20,25,71,61,1,62,0,73,67,64,72,68.0,0
17.0,37,33,24.0,15,16,76,71,1,74,0,72,77,73,75,74.0,0
18.0,38,33,24.0,15,16,72,67,1,67,0,70,81,67,71,72.0,0
17.0,33,64,66.0,66,67,69,65,0,68,1,59,59,70,66,64.0,0
17.0,32,84,75.0,79,74,52,76,0,78,1,52,58,82,58,59.0,0
17.0,31,71,69.0,70,63,79,61,0,66,1,67,63,70,76,68.0,0
18.0,32,71,69.0,71,64,77,61,0,67,1,66,63,70,78,68.0,0
19.0,33,71,69.0,68,63,76,60,0,63,1,65,62,66,78,67.0,0
17.0,31,20,26.0,22,20,88,64,1,74,0,82,80,65,86,71.0,0
17.0,33,72,66.0,69,69,50,73,0,77,1,51,51,79,68,59.0,0
17.0,33,82,80.0,80,76,76,54,0,56,0,35,33,58,30,39.0,0
17.0,32,14,24.0,27,22,50,74,1,77,1,61,72,72,70,66.0,0
17.0,30,48,43.0,48,36,56,70,0,74,1,65,63,73,69,67.0,0
17.0,32,39,38.0,40,35,70,83,1,83,1,71,78,74,79,73.0,0
18.0,33,39,38.0,40,35,70,83,1,83,1,71,78,74,79,73.0,0
19.0,34,39,37.0,40,35,70,83,1,83,1,73,78,74,79,74.0,0
17.0,33,78,77.0,78,76,70,44,0,50,0,13,20,56,16,18.0,0
17.0,33,72,73.0,76,71,66,54,0,60,0,48,22,45,22,47.0,0
18.0,34,67,72.0,76,71,66,54,0,60,0,48,22,45,22,47.0,0
17.0,32,60,61.0,61,57,64,53,0,59,0,43,40,60,40,44.0,0
17.0,34,72,77.0,79,72,79,68,0,70,0,62,60,66,52,69.0,0
18.0,35,69,75.0,77,70,79,68,0,70,0,62,60,68,52,69.0,0
17.0,31,50,58.0,62,60,61,58,0,65,1,52,61,69,59,55.0,0
17.0,30,56,58.0,58,55,64,54,0,53,0,13,18,62,19,23.0,0
18.0,33,42,36.0,29,20,62,68,1,69,0,75,60,65,73,67.0,1
17.0,30,72,69.0,68,70,69,77,0,78,1,68,79,85,77,76.0,0
18.0,31,76,76.0,77,79,69,77,0,78,1,66,76,84,75,74.0,0
19.0,32,77,75.0,78,79,66,76,0,79,1,62,76,84,72,70.0,0
20.0,33,79,77.0,80,79,66,77,0,80,1,62,76,84,72,70.0,0
21.0,34,79,77.0,80,79,66,77,0,80,1,62,76,84,72,70.0,0
17.0,30,73,67.0,68,62,64,71,0,75,1,56,75,76,71,69.0,0
18.0,31,69,67.0,70,69,62,78,0,78,1,69,75,78,78,76.0,0
19.0,32,69,72.0,70,69,66,77,0,78,1,70,75,78,77,76.0,0
17.0,30,23,31.0,42,18,72,60,1,68,0,67,65,60,65,67.0,0
17.0,29,75,73.0,77,76,61,70,0,67,0,53,45,68,44,55.0,0
18.0,30,75,73.0,77,76,61,70,0,67,0,53,45,68,44,55.0,0
17.0,32,62,67.0,74,70,57,51,0,63,0,22,18,62,56,35.0,0
18.0,33,63,65.0,74,70,57,51,0,63,0,22,18,61,56,34.0,0
19.0,34,61,64.0,67,63,57,52,0,58,0,22,18,59,57,34.0,0
20.0,35,63,64.0,67,63,58,54,1,61,0,22,18,66,58,34.0,0
21.0,36,63,64.0,67,63,58,54,1,61,0,22,18,65,58,34.0,0
21.0,37,70,71.0,76,78,78,61,0,66,0,38,35,71,58,43.0,0
17.0,31,88,90.0,92,90,80,56,0,55,0,33,45,55,28,46.0,0
18.0,32,88,90.0,92,90,84,58,0,57,0,33,45,59,28,46.0,0
19.0,33,88,91.0,93,90,84,58,0,57,0,33,45,59,28,46.0,0
20.0,34,88,90.0,91,89,83,59,0,61,0,33,45,65,28,46.0,0
21.0,35,88,90.0,90,88,83,59,0,61,0,33,45,65,28,46.0,0
17.0,34,76,75.0,74,76,62,65,0,73,1,47,41,75,69,60.0,0
18.0,35,76,76.0,76,77,65,65,0,74,1,47,41,75,69,60.0,0
19.0,36,78,77.0,79,77,62,62,0,76,1,47,41,75,67,59.0,0
17.0,29,31,24.0,22,20,46,87,1,86,1,75,75,81,77,79.0,0
18.0,30,31,24.0,22,20,46,87,1,86,1,75,75,81,77,79.0,0
19.0,31,31,35.0,22,20,46,86,0,86,1,70,75,77,70,76.0,0
20.0,32,31,37.0,22,20,62,88,1,87,0,68,75,80,77,75.0,0
21.0,33,31,37.0,22,20,62,86,1,86,0,70,75,80,79,76.0,0
17.0,36,69,69.0,70,69,67,62,0,68,1,45,50,72,60,57.0,0
17.0,33,81,80.0,80,76,76,52,0,60,0,14,28,56,20,27.0,0
17.0,31,35,29.0,23,22,67,75,1,72,1,73,73,64,72,72.0,0
18.0,32,35,29.0,23,22,67,70,1,72,1,72,72,63,72,71.0,0
17.0,30,76,76.0,77,76,76,68,0,74,0,57,70,77,74,69.0,0
18.0,31,76,76.0,77,77,76,70,0,75,0,57,70,76,72,69.0,0
19.0,32,77,76.0,78,76,74,70,0,74,0,57,72,78,72,68.0,0
17.0,33,27,30.0,30,25,69,61,1,61,0,63,64,61,66,64.0,0
17.0,32,74,75.0,74,77,76,58,0,61,0,32,37,67,50,39.0,0
17.0,31,38,40.0,51,41,40,72,0,66,1,59,59,68,62,61.0,0
17.0,30,78,86.0,90,87,84,64,0,68,0,45,46,65,41,54.0,0
17.0,35,44,40.0,36,39,77,65,1,68,0,73,67,65,73,74.0,0
19.0,37,44,44.0,39,37,80,64,1,65,0,70,66,61,73,70.0,0
17.0,32,84,77.0,75,74,73,58,0,67,0,58,63,70,60,63.0,0
18.0,33,75,74.0,75,74,73,58,0,67,0,49,53,70,60,53.0,0
19.0,34,76,76.0,76,78,74,58,0,67,0,36,40,73,56,44.0,0
17.0,32,68,69.0,72,66,73,46,0,53,0,21,26,65,17,27.0,0
17.0,36,68,68.0,69,66,60,70,0,75,1,71,64,76,72,73.0,0
18.0,37,68,66.0,68,66,60,69,0,73,1,67,64,75,70,70.0,0
17.0,34,13,21.0,20,14,71,73,1,75,0,76,75,65,83,75.0,0
18.0,35,13,21.0,20,14,68,70,1,70,1,72,75,65,80,73.0,0
17.0,36,70,75.0,75,80,84,52,0,57,0,29,59,62,26,45.0,0
18.0,37,70,72.0,70,73,80,52,0,57,0,29,59,62,26,45.0,0
17.0,30,65,72.0,74,74,72,55,0,57,0,33,25,56,55,40.0,0
18.0,31,72,72.0,71,72,73,55,0,58,0,33,25,59,55,40.0,0
19.0,32,71,67.0,65,66,68,55,0,63,0,29,25,60,55,38.0,0
17.0,31,63,69.0,70,64,75,23,0,48,0,33,30,57,29,36.0,0
18.0,32,64,68.0,68,64,73,23,0,48,0,33,30,57,29,36.0,0
17.0,32,62,65.0,64,66,67,35,0,52,0,33,52,51,25,35.0,0
18.0,33,59,63.0,65,64,65,35,0,52,0,33,52,51,25,35.0,0
17.0,33,31,36.0,32,27,76,64,1,67,0,65,55,66,65,63.0,0
17.0,30,75,79.0,82,77,78,56,0,70,0,38,34,72,38,48.0,0
18.0,31,75,78.0,81,77,78,56,0,70,0,38,34,72,38,48.0,0
17.0,34,63,63.0,70,72,43,54,0,65,0,28,50,65,57,45.0,0
17.0,29,73,65.0,72,62,49,64,0,73,1,62,69,78,59,69.0,0
17.0,31,68,65.0,72,58,42,64,0,67,1,56,49,77,57,61.0,0
18.0,32,70,66.0,72,65,42,68,0,73,1,56,55,75,63,62.0,0
19.0,33,71,68.0,73,65,42,65,0,72,1,54,55,73,62,61.0,0
20.0,34,70,66.0,68,62,42,65,0,70,1,54,55,75,62,61.0,0
21.0,35,70,66.0,68,62,42,65,0,69,1,54,55,75,62,61.0,0
17.0,34,69,68.0,69,67,65,70,0,72,1,56,52,74,64,58.0,1
17.0,33,59,46.0,55,24,76,75,1,77,0,78,74,75,78,77.0,0
18.0,34,59,46.0,55,24,76,76,1,80,0,77,74,75,81,77.0,0
19.0,35,59,46.0,55,24,76,76,1,80,0,77,74,75,80,77.0,0
20.0,36,52,50.0,58,34,79,79,1,82,0,86,74,76,84,82.0,0
21.0,37,52,50.0,58,34,79,76,1,80,0,81,74,76,82,80.0,0
17.0,34,65,69.0,73,72,58,67,0,75,0,33,56,77,36,45.0,0
17.0,32,92,85.0,87,85,68,58,0,82,1,42,51,79,51,53.0,0
18.0,33,88,82.0,83,82,68,58,0,80,1,42,51,79,51,53.0,0
17.0,34,64,58.0,55,58,49,73,0,75,1,59,62,74,64,63.0,0
17.0,31,71,73.0,74,69,78,49,0,64,0,35,40,68,17,36.0,0
18.0,32,68,71.0,72,64,75,49,0,58,0,35,40,68,17,36.0,0
19.0,33,68,71.0,72,62,73,46,0,58,0,35,40,66,17,36.0,1
17.0,32,86,85.0,86,82,86,62,0,72,0,44,22,72,32,47.0,0
17.0,31,86,85.0,85,84,76,73,0,76,0,49,53,72,71,56.0,0
17.0,37,72,74.0,75,77,70,60,0,69,0,47,61,65,53,56.0,0
17.0,32,68,67.0,65,59,63,79,0,78,1,63,58,77,67,69.0,0
18.0,33,65,68.0,71,59,63,75,0,77,1,63,58,75,67,68.0,0
17.0,35,71,73.0,74,72,71,45,0,56,0,34,50,61,26,43.0,0
18.0,36,71,73.0,74,72,71,45,0,56,0,34,50,61,26,43.0,0
17.0,33,59,63.0,70,62,58,72,0,74,1,69,65,80,73,69.0,0
18.0,33,51,52.0,49,44,56,77,0,78,1,68,66,77,71,71.0,0
19.0,34,55,46.0,51,48,56,78,1,79,1,71,66,78,74,74.0,0
20.0,35,55,51.0,51,46,55,78,0,78,1,73,67,81,77,76.0,0
17.0,32,34,45.0,51,50,58,85,1,86,0,84,82,81,84,83.0,0
17.0,34,71,67.0,63,65,68,70,0,68,0,35,41,71,63,46.0,0
18.0,35,69,66.0,63,66,64,66,0,65,1,35,41,68,63,46.0,0
17.0,28,40,31.0,30,34,36,85,1,85,0,69,72,76,76,71.0,1
18.0,29,40,31.0,30,34,36,89,1,87,0,78,72,82,81,77.0,0
19.0,30,40,39.0,30,34,38,89,1,87,0,76,72,82,81,76.0,0
20.0,31,40,39.0,30,34,38,85,1,85,1,79,72,81,82,78.0,0
17.0,31,61,59.0,65,62,50,80,0,82,1,72,77,80,76,74.0,0
18.0,32,60,58.0,64,60,50,83,0,83,1,62,77,80,76,70.0,0
19.0,33,60,61.0,60,60,50,82,0,82,1,60,77,78,74,69.0,0
20.0,34,65,63.0,65,60,50,82,0,82,1,60,77,82,74,69.0,0
21.0,35,70,66.0,70,60,50,80,0,82,1,61,77,83,73,70.0,0
17.0,32,69,58.0,65,49,58,79,0,80,1,66,75,77,74,74.0,0
18.0,33,69,59.0,65,59,58,79,0,80,1,69,75,80,74,75.0,0
19.0,34,69,65.0,65,59,58,76,0,78,1,66,75,76,74,74.0,0
17.0,31,76,75.0,80,77,60,79,0,77,0,58,57,74,76,63.0,0
18.0,32,76,75.0,78,75,60,79,0,77,0,58,57,74,76,63.0,0
19.0,33,75,73.0,78,73,60,78,0,75,0,58,57,74,76,63.0,0
17.0,29,61,61.0,63,65,70,87,0,88,1,72,80,85,82,74.0,0
18.0,30,61,61.0,63,65,70,85,1,86,1,71,80,83,81,73.0,0
19.0,31,61,64.0,63,60,65,80,0,81,1,71,78,80,77,73.0,0
17.0,29,71,66.0,71,70,40,66,0,63,0,41,34,62,64,43.0,0
18.0,30,69,66.0,71,67,40,66,0,61,0,41,34,62,64,43.0,0
17.0,34,76,77.0,78,74,80,46,0,60,0,32,23,60,21,32.0,0
17.0,24,32,31.0,35,17,70,82,1,78,1,76,75,75,80,78.0,0
18.0,25,32,31.0,35,17,67,82,1,78,1,71,74,69,72,74.0,0
19.0,26,32,37.0,35,17,67,76,1,75,1,71,74,69,72,73.0,0
20.0,27,32,37.0,35,17,64,72,1,72,1,69,74,69,72,72.0,0
21.0,28,32,37.0,35,17,64,72,1,72,1,69,74,69,72,72.0,0
17.0,30,65,64.0,64,64,64,70,0,69,1,69,68,66,67,69.0,0
17.0,32,67,69.0,73,76,52,66,0,67,0,27,22,65,70,44.0,0
18.0,33,66,67.0,71,73,52,65,0,66,0,27,22,63,70,44.0,0
17.0,32,39,30.0,26,22,63,65,1,66,1,65,67,63,71,65.0,0
