fifa_version,age,physic,mentality_aggression,mentality_interceptions,power_stamina,power_strength,defending_marking_awareness,power_jumping,defending_standing_tackle,defending_sliding_tackle,attacking_heading_accuracy,mentality_composure,movement_reactions,skill_long_passing,skill_dribbling,skill_fk_accuracy,skill_ball_control,attacking_crossing,power_shot_power,attacking_finishing,skill_curve,movement_balance,attacking_volleys,power_long_shots,mentality_vision,mentality_penalties,movement_agility,big_potential
18.0,35,41.0,58,23,34,33,27,88,29,29,58,56.0,57,51,60,49,60,51,57,64,50,88,57,55,52,62,77,0
17.0,34,79.0,88,79,83,74,73,72,75,69,62,77.0,78,65,57,56,65,36,66,44,57,59,54,53,67,64,56,0
18.0,35,78.0,85,79,78,76,73,75,73,67,62,77.0,78,65,57,56,65,36,66,44,57,60,54,53,67,64,57,0
17.0,34,66.0,66,35,35,85,18,32,25,31,78,76.0,77,42,63,52,74,58,77,75,73,28,74,60,63,62,27,0
21.0,38,62.0,66,35,30,80,35,32,25,31,82,76.0,77,42,63,52,77,58,77,79,73,28,79,60,63,62,30,0
17.0,38,50.0,30,33,38,62,20,68,38,34,28,77.0,76,79,70,88,76,78,79,65,87,68,78,77,74,83,76,0
18.0,39,51.0,30,33,43,62,20,68,38,34,28,77.0,76,77,70,88,76,78,79,65,87,69,78,77,71,83,76,0
17.0,34,72.0,75,70,76,70,72,63,71,69,59,72.0,74,68,63,58,74,47,79,52,62,73,59,70,66,69,64,0
18.0,35,72.0,73,70,76,70,70,61,71,69,59,70.0,69,68,63,58,72,47,77,52,62,68,59,68,65,69,59,0
17.0,34,61.0,59,65,81,50,67,78,68,68,54,75.0,77,59,68,65,69,65,68,61,67,75,62,56,67,59,85,0
17.0,34,86.0,84,20,75,93,15,72,41,27,76,91.0,85,76,87,80,90,76,93,90,80,41,93,88,83,91,86,0
18.0,35,82.0,84,20,71,88,15,69,41,27,80,91.0,86,76,82,82,88,76,91,87,82,41,90,85,83,91,81,0
19.0,36,78.0,84,20,61,86,28,68,37,24,83,90.0,82,73,79,82,84,73,90,86,82,39,86,82,79,89,74,0
20.0,37,78.0,84,20,59,87,28,68,37,24,83,90.0,82,73,77,78,84,70,90,86,80,39,88,88,84,89,72,0
17.0,34,51.0,53,35,33,60,29,42,41,39,56,80.0,71,79,85,77,83,87,74,69,89,75,68,76,81,75,69,0
18.0,35,51.0,53,35,35,60,29,37,41,39,56,80.0,71,81,85,77,83,84,74,74,86,75,68,76,81,75,71,1
19.0,36,61.0,53,35,65,64,41,33,41,39,56,80.0,80,83,85,77,83,86,74,80,86,74,68,76,84,75,74,0
20.0,37,56.0,53,35,48,64,41,31,47,39,63,79.0,82,82,85,77,83,84,77,80,86,70,68,78,83,75,68,0
17.0,32,63.0,61,62,60,65,51,68,61,57,56,72.0,73,72,71,72,77,72,80,59,75,68,62,76,75,64,69,0
17.0,33,76.0,83,42,69,75,43,84,20,31,67,81.0,77,53,66,71,73,69,74,78,65,62,70,67,76,71,70,0
17.0,34,54.0,65,46,33,59,52,64,46,43,52,70.0,62,66,64,69,68,70,70,64,73,65,64,68,69,67,67,0
17.0,34,72.0,82,75,55,75,75,80,76,75,81,78.0,78,66,60,56,61,53,60,44,58,62,58,70,46,58,56,0
18.0,35,70.0,78,73,55,73,73,78,72,70,78,75.0,76,68,58,56,60,53,60,44,58,62,58,70,46,58,56,0
19.0,36,72.0,78,68,54,78,78,78,75,71,79,77.0,67,68,58,56,65,53,63,45,58,59,58,71,48,58,55,0
17.0,35,70.0,70,80,72,70,75,68,78,74,73,77.0,72,60,47,36,62,66,66,38,46,59,26,54,57,36,57,0
17.0,31,73.0,82,39,57,77,24,80,23,19,58,60.0,65,66,65,61,68,48,77,77,66,72,63,56,47,68,64,0
17.0,38,70.0,72,70,32,91,63,50,63,57,74,75.0,68,58,24,65,55,33,74,46,53,32,43,64,49,62,46,0
17.0,32,66.0,78,67,30,76,55,90,61,67,65,64.0,65,68,45,65,58,37,71,34,46,59,38,64,48,50,58,0
17.0,32,74.0,73,67,77,74,44,68,63,46,49,72.0,69,73,67,71,71,67,76,63,70,71,63,74,73,71,74,0
17.0,33,59.0,65,51,48,60,51,71,51,46,70,68.0,65,63,70,54,75,72,77,71,55,75,74,74,67,73,73,0
17.0,33,66.0,63,19,73,62,24,74,20,11,68,84.0,77,43,78,68,77,54,88,84,63,88,81,81,67,68,83,0
18.0,34,65.0,63,19,72,61,24,75,20,11,66,84.0,81,43,78,68,77,54,88,87,63,88,82,80,67,74,83,0
19.0,35,57.0,62,19,57,54,30,68,20,11,65,82.0,78,43,74,68,77,54,84,85,63,87,82,78,65,74,77,0
17.0,34,76.0,63,71,70,85,66,62,66,64,65,70.0,62,43,35,37,44,25,50,24,38,31,13,43,60,37,49,0
18.0,35,77.0,69,63,68,85,63,68,65,64,66,63.0,62,48,35,37,44,25,50,32,38,34,13,43,56,37,49,0
19.0,36,72.0,69,63,62,79,65,71,60,59,66,63.0,62,48,35,37,44,25,50,32,38,32,13,43,56,37,49,0
20.0,37,74.0,74,63,60,81,65,72,60,59,66,63.0,62,48,27,37,40,25,50,32,38,32,13,43,56,37,49,0
17.0,34,69.0,81,43,79,62,52,50,49,41,50,71.0,63,69,69,67,74,66,66,62,59,85,64,65,75,77,80,0
17.0,33,76.0,76,73,59,85,77,64,77,72,79,81.0,83,82,78,75,83,70,76,67,76,40,67,73,83,76,51,0
17.0,36,73.0,83,77,73,71,76,53,77,73,55,73.0,75,75,71,71,73,74,76,63,64,80,60,70,74,60,72,0
17.0,31,62.0,67,65,60,60,65,76,70,62,61,60.0,72,78,76,70,75,86,86,67,86,63,58,79,73,74,65,0
18.0,32,67.0,69,67,65,66,65,77,71,63,61,65.0,74,79,77,70,77,85,86,67,86,61,58,79,74,74,65,0
17.0,32,76.0,75,73,73,79,74,65,73,69,72,62.0,53,52,38,58,59,39,70,47,52,58,40,57,45,77,34,0
18.0,33,75.0,74,71,70,79,69,65,70,67,72,62.0,59,52,38,58,59,39,70,47,52,58,40,57,45,75,34,0
19.0,34,73.0,74,72,69,79,67,34,68,66,71,62.0,60,52,38,58,57,39,70,47,52,58,40,57,45,81,34,0
17.0,33,76.0,87,67,90,64,73,77,67,73,58,64.0,74,53,59,40,63,48,61,51,55,76,43,65,51,47,77,0
17.0,32,82.0,84,87,79,84,75,78,84,82,81,80.0,80,82,64,71,78,57,81,50,62,72,74,74,72,75,69,0
17.0,37,74.0,77,63,78,71,52,71,58,54,52,62.0,59,62,55,48,65,43,60,33,44,71,37,54,40,38,43,0
18.0,38,74.0,77,63,76,71,52,72,58,54,52,62.0,59,62,55,48,65,45,60,33,44,71,37,54,42,38,43,0
17.0,34,75.0,67,22,56,92,17,34,21,22,73,72.0,75,72,69,73,72,61,80,73,61,32,72,66,61,76,51,0
18.0,35,74.0,67,22,57,89,17,33,21,22,67,72.0,71,64,69,69,70,61,77,65,61,32,68,66,61,65,51,0
19.0,36,72.0,67,19,52,85,28,56,21,22,75,72.0,60,51,69,69,70,61,75,70,61,31,68,61,61,65,37,0
17.0,29,56.0,40,34,64,57,33,72,35,24,30,55.0,61,57,66,63,64,67,52,58,67,83,51,54,63,59,82,0
17.0,33,73.0,54,22,71,82,22,72,20,20,63,65.0,58,42,59,61,61,44,73,66,62,64,61,55,58,71,60,0
17.0,32,64.0,56,50,80,59,41,72,53,51,61,55.0,67,57,54,29,60,48,57,43,41,81,31,54,57,46,57,0
18.0,33,64.0,56,54,73,62,59,73,61,63,60,55.0,67,57,55,35,60,54,54,48,50,82,31,49,57,46,57,0
19.0,34,69.0,56,59,87,65,62,73,61,63,60,58.0,67,57,55,35,60,54,54,48,50,82,31,49,59,46,59,0
17.0,33,81.0,79,85,78,83,82,87,85,83,79,81.0,74,66,49,31,62,55,69,30,55,64,44,54,39,68,51,0
18.0,34,78.0,79,81,71,80,81,83,84,81,79,76.0,74,66,49,31,62,55,69,30,55,62,44,54,39,68,51,0
19.0,35,71.0,79,79,52,77,79,83,79,78,78,76.0,72,66,49,31,62,55,69,30,55,61,44,54,39,55,47,0
20.0,36,65.0,78,75,30,76,77,78,77,76,77,76.0,72,66,49,31,60,53,64,30,55,61,44,54,39,55,32,0
17.0,31,59.0,36,46,75,62,42,42,26,37,62,68.0,71,73,77,75,77,78,76,66,80,74,70,74,74,68,73,0
17.0,29,72.0,77,74,41,87,70,57,68,66,72,78.0,73,79,66,74,82,76,91,60,68,44,79,75,84,72,34,0
18.0,30,71.0,77,74,39,87,70,56,68,66,72,80.0,73,79,64,74,82,76,89,60,68,44,79,75,80,72,33,0
17.0,30,86.0,89,54,87,84,48,81,54,37,76,89.0,83,85,77,84,83,78,86,84,84,77,85,84,83,81,77,0
18.0,31,81.0,81,54,78,83,48,76,51,37,75,88.0,83,82,73,81,80,78,86,80,84,77,83,79,80,83,71,0
17.0,31,65.0,36,39,69,73,30,71,37,46,34,69.0,73,72,83,28,77,74,68,69,61,87,71,55,74,63,82,0
18.0,32,61.0,36,39,68,67,30,71,37,46,34,69.0,73,72,83,28,77,74,68,69,61,87,71,55,74,63,79,0
17.0,32,73.0,75,74,70,73,73,79,75,75,70,71.0,69,52,44,28,58,43,59,29,40,73,42,48,39,61,47,0
17.0,33,65.0,63,61,71,63,63,72,65,62,52,64.0,63,62,58,60,60,60,60,34,60,69,51,50,54,40,59,0
18.0,33,65.0,56,27,74,64,33,71,35,34,37,71.0,70,59,69,64,67,70,70,64,66,80,56,68,65,69,80,0
17.0,32,75.0,73,66,77,75,49,63,60,51,61,78.0,66,69,62,71,69,65,70,49,69,80,62,66,70,55,56,0
18.0,33,70.0,66,66,69,73,49,61,55,51,63,77.0,66,69,62,68,69,65,70,49,69,79,62,65,68,55,58,0
17.0,34,74.0,67,46,62,83,43,70,51,55,62,79.0,59,63,70,58,71,67,77,61,69,63,68,63,68,49,73,0
17.0,35,79.0,82,23,66,82,46,93,44,49,94,87.0,85,52,79,54,80,54,83,85,61,57,84,80,73,75,53,0
17.0,30,75.0,70,72,75,78,70,68,76,73,64,73.0,68,76,69,76,73,77,80,50,81,62,55,73,75,64,70,0
19.0,32,71.0,70,69,70,73,70,64,72,70,66,70.0,62,72,66,72,71,73,75,55,74,60,55,71,70,68,51,0
20.0,33,71.0,70,69,69,73,70,64,72,70,66,70.0,62,72,66,72,71,73,75,55,74,60,55,71,70,68,51,0
17.0,36,76.0,79,76,67,79,77,72,81,69,81,65.0,75,51,27,33,66,49,44,50,39,33,23,30,52,49,34,0
17.0,35,68.0,73,47,55,73,31,70,30,26,61,86.0,73,75,77,71,81,76,81,76,76,70,76,80,74,77,72,0
17.0,32,53.0,53,44,58,49,42,61,38,36,62,59.0,61,58,66,64,65,63,65,62,68,76,61,66,68,62,73,0
17.0,30,65.0,49,38,78,65,37,59,39,38,43,54.0,61,52,72,48,65,67,63,62,63,70,59,60,63,51,80,0
18.0,31,65.0,49,40,76,67,42,54,49,45,43,56.0,61,59,70,53,63,68,63,57,67,70,58,60,60,51,77,0
17.0,32,81.0,81,84,64,90,82,67,85,75,83,70.0,76,76,44,71,64,79,79,51,80,39,68,74,42,60,51,1
17.0,31,71.0,74,70,70,70,62,70,71,60,70,74.0,73,77,73,71,74,71,73,69,73,65,68,71,72,78,68,0
17.0,34,68.0,67,29,73,66,22,67,28,38,66,83.0,82,67,82,80,85,71,80,86,83,75,78,76,71,88,76,0
17.0,36,59.0,60,41,58,58,37,71,42,37,51,83.0,84,55,59,55,67,59,63,76,65,80,56,70,65,71,70,0
17.0,35,64.0,50,37,78,61,11,78,12,14,73,70.0,87,45,83,69,81,60,77,84,72,77,72,78,74,76,87,0
19.0,37,63.0,50,37,74,61,36,76,12,14,71,70.0,84,45,80,68,78,60,74,81,69,77,70,75,74,76,88,0
20.0,38,59.0,50,37,61,59,36,80,12,14,69,68.0,73,45,76,68,73,60,71,77,69,80,68,72,74,76,86,0
17.0,34,70.0,71,73,55,76,70,73,72,73,70,45.0,65,67,64,64,70,70,73,44,57,65,33,58,52,65,68,0
17.0,31,65.0,63,33,66,65,20,65,31,28,50,71.0,63,58,70,66,69,61,63,69,59,75,61,65,71,73,74,0
18.0,32,67.0,63,33,68,69,20,67,31,28,50,74.0,65,58,70,66,70,61,63,69,60,75,61,65,71,73,74,0
19.0,33,68.0,63,33,69,69,39,67,31,28,45,72.0,65,58,68,66,70,61,63,69,60,75,61,65,71,64,74,0
20.0,34,69.0,63,33,78,68,39,67,31,28,50,72.0,68,58,68,66,70,61,63,72,60,75,61,65,71,64,74,0
17.0,32,77.0,80,76,66,81,80,80,80,78,81,72.0,72,73,17,11,58,19,62,22,23,54,23,21,43,44,51,0
18.0,33,73.0,78,75,54,79,75,80,76,72,80,70.0,72,71,17,11,59,19,62,25,23,52,23,21,43,44,50,0
17.0,33,81.0,94,88,64,84,88,76,89,90,82,68.0,84,61,58,47,58,46,63,46,44,49,23,56,48,57,63,0
18.0,34,80.0,94,86,62,84,86,76,86,87,80,77.0,83,61,58,47,62,46,63,46,44,49,23,56,48,57,63,0
19.0,35,81.0,94,85,60,86,86,76,85,82,80,79.0,83,61,58,47,62,46,63,46,44,49,23,56,48,57,63,1
20.0,36,85.0,92,84,82,83,86,88,85,82,82,79.0,82,61,58,47,62,46,63,46,44,48,23,56,48,57,63,0
21.0,37,85.0,91,76,82,83,85,88,83,82,82,79.0,79,73,58,47,62,46,63,46,44,48,23,56,48,57,62,0
17.0,31,74.0,80,84,61,77,68,80,74,75,78,88.0,85,84,74,78,81,78,82,70,82,63,82,80,85,83,67,0
18.0,34,71.0,61,35,40,93,15,48,36,12,78,66.0,64,38,39,43,62,48,70,73,59,40,63,64,58,60,38,0
19.0,35,73.0,61,35,48,93,35,43,36,12,80,68.0,66,38,38,43,63,48,70,72,59,40,65,66,58,60,38,0
20.0,36,73.0,58,35,51,93,35,40,36,12,79,68.0,66,38,38,43,62,48,70,70,59,38,57,66,58,60,36,0
17.0,32,71.0,69,66,77,70,70,64,73,71,75,65.0,63,64,65,43,66,72,73,60,68,57,50,64,67,76,73,0
17.0,32,74.0,47,28,73,84,22,78,43,26,72,72.0,71,49,75,56,75,61,80,73,57,61,71,70,66,67,75,0
18.0,33,71.0,47,28,73,79,22,78,43,26,71,72.0,71,49,73,56,75,61,78,73,57,61,71,68,66,67,73,0
17.0,36,73.0,70,72,55,83,74,83,72,72,68,78.0,64,56,60,35,60,58,71,28,37,66,29,36,44,38,53,0
17.0,32,70.0,74,75,52,78,74,64,70,67,68,61.0,68,63,58,42,59,57,62,22,28,43,21,44,53,62,43,0
17.0,30,76.0,85,33,68,77,20,66,29,26,72,65.0,81,60,69,75,65,68,85,82,66,48,77,73,62,79,72,0
18.0,31,76.0,85,33,67,77,20,66,29,26,72,65.0,81,60,69,75,62,68,85,82,66,48,77,73,62,79,72,0
19.0,32,77.0,85,33,69,79,29,66,29,26,72,71.0,81,60,69,70,69,68,85,82,60,48,77,74,64,79,72,1
20.0,33,77.0,85,33,69,79,29,66,29,26,72,81.0,81,60,69,70,69,68,85,82,60,48,77,74,64,79,72,0
17.0,25,66.0,68,61,78,59,63,70,62,66,58,61.0,70,66,70,67,70,69,64,61,59,82,56,67,63,52,78,0
17.0,31,71.0,75,82,76,68,67,62,70,68,65,75.0,79,83,77,85,82,80,82,71,84,67,71,80,80,88,70,0
17.0,30,83.0,78,83,90,82,80,80,85,79,76,75.0,79,74,69,54,72,56,84,58,60,62,54,73,58,68,66,0
18.0,31,80.0,70,86,90,79,78,80,85,79,76,75.0,80,76,72,54,79,56,84,58,60,62,54,73,58,68,66,0
19.0,32,79.0,70,86,86,79,70,81,79,76,70,75.0,80,71,65,54,74,49,82,58,60,62,54,73,58,68,66,0
17.0,26,71.0,74,72,82,64,76,70,75,74,60,72.0,74,67,68,32,70,72,73,52,78,78,42,68,58,40,76,0
18.0,27,72.0,76,74,82,66,75,70,74,72,61,72.0,72,74,72,32,73,73,73,52,78,72,42,68,58,40,71,0
19.0,28,72.0,75,78,82,66,65,68,74,72,58,69.0,75,72,70,32,75,76,71,42,77,72,42,66,58,40,68,0
20.0,29,72.0,75,75,83,66,77,68,75,74,60,69.0,74,70,70,32,72,76,77,42,75,71,42,70,58,40,67,0
17.0,33,69.0,64,47,68,73,40,59,46,38,71,58.0,66,62,65,49,62,64,77,67,54,44,65,65,54,68,45,0
18.0,34,67.0,64,38,66,69,35,59,35,34,70,45.0,70,51,64,49,60,58,76,66,51,44,65,65,54,68,35,0
17.0,29,66.0,53,68,79,65,46,64,59,41,65,46.0,70,69,66,48,71,61,69,64,61,76,42,68,71,51,77,0
18.0,30,66.0,53,68,79,65,46,64,62,50,65,46.0,70,67,66,48,71,61,69,64,61,76,42,68,71,51,77,0
19.0,31,66.0,53,68,79,65,45,64,62,50,63,54.0,70,65,66,48,71,61,69,64,61,76,42,68,71,51,77,0
17.0,30,80.0,82,69,78,80,69,82,72,71,69,51.0,62,51,39,36,55,64,43,29,36,57,52,31,48,41,47,0
17.0,32,75.0,76,76,71,78,66,69,74,70,68,75.0,70,78,74,72,78,72,82,51,74,69,64,76,78,69,64,0
18.0,33,75.0,76,75,70,77,66,69,72,68,66,75.0,70,77,74,72,77,72,80,51,74,69,64,76,74,69,63,0
17.0,33,79.0,69,80,91,78,75,60,80,73,75,82.0,83,76,74,64,80,70,73,63,67,62,63,61,63,76,69,0
18.0,34,79.0,69,80,92,79,75,60,80,73,75,82.0,83,76,74,64,80,70,73,63,67,62,63,61,66,76,67,0
19.0,35,77.0,69,77,84,79,72,62,80,70,75,82.0,76,74,73,64,76,69,73,61,67,62,63,59,65,75,65,0
20.0,36,75.0,69,75,73,79,76,62,77,68,75,82.0,76,74,73,64,72,69,73,61,67,61,63,59,65,75,59,0
17.0,30,75.0,69,42,74,78,43,81,46,41,77,74.0,75,69,71,46,70,71,77,75,67,65,80,69,73,69,81,0
18.0,31,75.0,69,42,74,78,43,82,46,41,79,76.0,76,68,75,66,75,71,77,79,67,65,79,70,78,69,79,0
19.0,32,75.0,69,42,74,78,42,82,46,40,77,76.0,74,68,75,66,69,71,77,79,67,66,75,70,78,69,77,0
17.0,31,78.0,86,68,77,75,68,77,74,64,46,74.0,73,67,69,53,70,64,70,62,68,72,55,63,63,76,80,0
18.0,32,82.0,88,75,87,77,70,79,75,64,46,85.0,79,71,69,53,71,64,70,52,68,73,55,62,63,76,80,0
19.0,33,82.0,90,77,87,77,76,79,75,69,50,86.0,77,70,70,48,72,61,70,48,65,73,48,58,63,74,77,0
17.0,31,75.0,78,66,67,82,66,33,67,60,71,46.0,56,57,53,42,56,50,55,19,27,38,24,20,43,44,29,0
18.0,32,74.0,78,66,64,82,65,31,66,60,71,46.0,56,57,53,42,56,50,55,19,27,34,24,20,43,44,28,0
17.0,30,60.0,56,55,66,58,38,71,42,45,46,73.0,69,72,68,74,74,69,74,68,81,72,69,76,74,78,75,0
18.0,31,60.0,56,55,66,58,41,71,49,53,46,74.0,69,72,68,74,74,69,74,68,81,72,69,76,74,82,75,0
19.0,32,61.0,58,58,68,58,47,66,53,53,46,71.0,70,68,68,71,67,67,72,65,81,68,69,72,73,82,72,1
17.0,31,78.0,86,86,82,73,72,72,81,78,55,64.0,82,81,78,71,76,68,83,70,70,79,76,81,75,61,79,0
18.0,32,78.0,86,85,80,75,72,72,83,77,55,73.0,82,79,77,71,78,68,83,69,70,79,74,78,75,61,77,0
19.0,33,79.0,87,88,79,76,86,76,85,80,63,79.0,86,81,77,72,82,68,83,69,70,78,74,78,75,61,72,0
17.0,30,76.0,82,72,64,79,76,76,75,73,80,74.0,63,63,48,43,63,57,67,22,49,58,40,24,48,30,57,0
17.0,31,75.0,73,68,76,77,73,55,77,72,68,69.0,65,64,69,61,73,75,64,25,51,60,26,62,59,44,58,0
17.0,32,83.0,79,78,73,91,82,76,84,78,75,62.0,78,44,56,18,62,17,52,19,14,52,23,35,51,17,31,0
18.0,33,82.0,79,77,70,89,78,76,78,74,77,66.0,76,47,58,18,61,17,52,19,14,51,23,35,49,17,29,0
17.0,32,75.0,38,23,75,90,15,76,20,25,71,60.0,63,56,61,67,62,54,63,73,56,59,67,59,51,70,65,0
17.0,37,69.0,44,33,72,76,12,74,15,16,76,72.0,64,71,71,70,74,73,74,72,78,63,77,73,73,86,70,0
18.0,38,59.0,44,33,46,70,12,74,15,16,72,72.0,54,67,67,70,67,69,75,70,83,63,81,70,68,86,65,0
17.0,33,79.0,86,64,82,75,65,82,66,67,69,63.0,71,67,65,48,68,54,80,59,55,74,59,60,62,63,67,0
17.0,32,71.0,68,84,81,67,73,78,79,74,52,84.0,81,82,76,70,78,73,68,52,62,77,58,67,80,62,77,0
17.0,31,84.0,82,71,90,84,66,59,70,63,79,73.0,74,65,61,58,66,60,71,67,40,46,63,64,69,69,48,0
18.0,32,84.0,82,71,91,84,66,62,71,64,77,74.0,71,65,61,58,67,53,72,66,40,46,63,65,69,69,44,0
19.0,33,81.0,79,71,82,85,68,46,68,63,76,74.0,68,63,60,57,63,52,71,65,39,46,62,64,69,68,35,0
17.0,31,66.0,70,20,56,66,16,93,22,20,88,78.0,70,40,64,40,74,50,68,82,63,78,80,40,58,81,73,0
17.0,33,70.0,72,72,69,69,63,76,69,69,50,74.0,75,77,73,59,77,69,70,51,61,78,51,67,77,60,75,0
17.0,33,75.0,76,82,66,78,82,82,80,76,76,76.0,74,56,54,23,56,34,49,35,37,57,33,39,46,41,46,0
17.0,32,46.0,48,14,71,34,20,32,27,22,50,73.0,77,70,74,78,77,69,74,61,81,90,72,68,72,68,81,0
17.0,30,71.0,62,48,73,75,34,53,48,36,56,66.0,68,71,70,75,74,70,72,65,74,65,63,67,75,72,67,0
17.0,32,59.0,52,39,55,62,25,72,40,35,70,65.0,69,65,83,69,83,69,76,71,80,72,78,74,71,68,63,0
18.0,33,59.0,52,39,54,62,25,72,40,35,70,72.0,69,65,83,69,83,69,76,71,80,72,78,74,71,68,63,0
19.0,34,56.0,52,39,44,62,23,72,40,35,70,72.0,73,65,83,69,83,69,76,73,80,72,78,74,71,68,63,0
17.0,33,70.0,78,78,55,75,78,68,78,76,70,74.0,70,56,44,14,50,30,21,13,22,55,20,27,25,19,33,0
17.0,33,76.0,78,72,51,86,73,83,76,71,66,68.0,62,37,54,21,60,20,58,48,18,49,22,53,19,25,30,0
18.0,34,75.0,73,67,51,86,73,83,76,71,66,68.0,60,37,54,21,60,20,58,48,18,49,22,53,19,25,30,0
17.0,32,73.0,68,60,64,81,61,56,61,57,64,63.0,63,56,53,40,59,59,47,43,57,55,40,41,48,56,40,0
17.0,34,84.0,90,72,71,88,78,92,79,72,79,82.0,73,74,68,78,70,67,83,62,77,63,60,78,56,75,65,0
